RD
-151.1855, 116.5541, 139.7836, -165.7294, -53.53886, 153.2738, 45 | 0.02175206, 0.6089687, 0.3634137 | 1
-151.3038, 116.2053, 139.8428, -165.6766, -53.29908, 153.5745, 45 | 0.02152878, 0.6096883, 0.3638257 | 1
-151.5162, 115.7396, 139.8674, -165.6353, -53.00793, 154.074, 45 | 0.02139503, 0.6108497, 0.3644071 | 1
-151.63, 115.3455, 139.8751, -165.579, -52.80152, 154.5403, 45 | 0.02118933, 0.612197, 0.3649042 | 1
-151.8439, 114.7568, 139.8475, -165.5373, -52.67674, 155.3638, 45 | 0.02118284, 0.6144211, 0.3657972 | 1
-152.1082, 114.3526, 139.8504, -165.5341, -52.41413, 155.8568, 45 | 0.02129781, 0.6154803, 0.3662885 | 1
-152.265, 113.8906, 139.9585, -165.4482, -52.06716, 156.2412, 45 | 0.02114275, 0.6165643, 0.3668054 | 1
-152.2561, 113.6989, 139.9924, -165.3971, -51.99608, 156.4591, 45 | 0.02091655, 0.6174124, 0.3670297 | 1
-152.4581, 113.0675, 140.0527, -165.3085, -51.64323, 157.2477, 45 | 0.02068591, 0.6199452, 0.3676902 | 1
-152.7707, 112.5345, 140.0163, -165.3113, -51.43673, 158.0575, 45 | 0.02095324, 0.6220232, 0.3683835 | 1
-153.0865, 111.9047, 140.1234, -165.2392, -51.01259, 158.6643, 45 | 0.02117944, 0.6234836, 0.3692082 | 1
-153.097, 111.7469, 140.2208, -165.1765, -50.86334, 158.6838, 45 | 0.02105525, 0.6236298, 0.3694002 | 1
-153.0989, 111.5753, 140.2832, -165.1158, -50.71836, 158.8223, 45 | 0.02087575, 0.6243128, 0.3695334 | 1
-153.6681, 110.4462, 140.346, -165.0454, -50.15201, 160.4391, 45 | 0.02132866, 0.6291631, 0.3707407 | 1
-153.7124, 110.2253, 140.3939, -164.9907, -50.00539, 160.7045, 45 | 0.02127519, 0.6302598, 0.3709114 | 1
-153.5731, 110.1231, 140.5135, -164.8703, -49.88345, 160.6214, 45 | 0.02088079, 0.6306067, 0.3709803 | 1
-153.6225, 109.8028, 140.6238, -164.7639, -49.55477, 160.8751, 45 | 0.02070928, 0.6318303, 0.3712282 | 1
-153.9915, 109.0006, 140.6996, -164.6638, -49.14571, 161.9274, 45 | 0.02132779, 0.6351627, 0.3721762 | 1
-154.1476, 108.6293, 140.729, -164.6137, -48.91868, 162.4172, 45 | 0.02153438, 0.6367615, 0.3725969 | 1
-154.1051, 108.5651, 140.7387, -164.5718, -48.99323, 162.4588, 45 | 0.02160037, 0.6369652, 0.3728037 | 1
-154.0314, 108.3828, 140.8477, -164.4477, -48.81078, 162.468, 45 | 0.02137938, 0.6374946, 0.3730325 | 1
-154.1634, 107.9406, 140.9376, -164.3521, -48.46623, 162.9389, 45 | 0.02140078, 0.6392328, 0.3735203 | 1
-154.537, 107.1062, 141.013, -164.2637, -48.01995, 163.9839, 45 | 0.02192, 0.6422371, 0.374704 | 1
-154.6114, 106.8544, 141.06, -164.2165, -47.86352, 164.2274, 45 | 0.02194539, 0.6429626, 0.3751057 | 1
-154.7279, 106.3727, 141.2364, -164.0774, -47.45032, 164.5732, 45 | 0.02192304, 0.6443855, 0.3757346 | 1
-154.9426, 105.8637, 141.3574, -163.9921, -47.04838, 165.1205, 45 | 0.02214029, 0.6462561, 0.3763387 | 1
-155.0642, 105.363, 141.4901, -163.8674, -46.66658, 165.6579, 45 | 0.02215013, 0.6484652, 0.3768811 | 1
-155.0829, 105.2171, 141.5259, -163.8334, -46.59933, 165.8329, 45 | 0.02208009, 0.6491537, 0.3770573 | 1
-155.1996, 104.7637, 141.6863, -163.7219, -46.19645, 166.2856, 45 | 0.02194217, 0.6511053, 0.3774961 | 1
-155.2141, 104.5438, 141.7791, -163.6385, -45.99617, 166.4791, 45 | 0.02182525, 0.6521952, 0.3776805 | 1
-155.2568, 104.3136, 141.8194, -163.5903, -45.88803, 166.8054, 45 | 0.02180454, 0.6534927, 0.3779134 | 1
-155.4305, 103.7816, 142.0095, -163.4828, -45.41143, 167.3524, 45 | 0.02167249, 0.6556865, 0.3784599 | 1
-155.4542, 103.6116, 142.1146, -163.4129, -45.22232, 167.4165, 45 | 0.02156568, 0.6561874, 0.3786632 | 1
-155.5888, 103.0754, 142.2932, -163.2962, -44.80584, 168.0459, 45 | 0.02136272, 0.6588485, 0.379159 | 1
-155.6101, 102.8177, 142.3762, -163.2291, -44.58867, 168.411, 45 | 0.02108756, 0.6606138, 0.3792639 | 1
-155.6088, 102.5439, 142.5248, -163.1305, -44.34575, 168.6753, 45 | 0.02065364, 0.6621666, 0.3794239 | 1
-155.7601, 102.1807, 142.6724, -163.0774, -43.98233, 169.0903, 45 | 0.02052137, 0.663823, 0.3797252 | 1
-155.8241, 101.9318, 142.8105, -163.0096, -43.60366, 169.3276, 45 | 0.02022815, 0.6651828, 0.3798075 | 1
-155.7269, 101.6728, 142.945, -162.8799, -43.4325, 169.5793, 45 | 0.01957825, 0.6669145, 0.3799698 | 1
-155.7426, 101.5109, 142.9952, -162.8388, -43.38226, 169.7709, 45 | 0.01947579, 0.6676925, 0.3801845 | 1
-156.0306, 100.7709, 143.2659, -162.7171, -42.6664, 170.646, 45 | 0.01937765, 0.671239, 0.3808708 | 1
-156.0207, 100.5602, 143.3535, -162.6369, -42.44413, 170.8698, 45 | 0.01910821, 0.6725531, 0.3810143 | 1
-156.0604, 100.1842, 143.5048, -162.518, -42.17664, 171.2162, 45 | 0.01886302, 0.6742162, 0.3815107 | 1
-156.1068, 100.0107, 143.5907, -162.4682, -42.00947, 171.3374, 45 | 0.01879281, 0.6747924, 0.3817642 | 1
-156.2102, 99.47556, 143.7932, -162.3315, -41.59916, 171.9323, 45 | 0.01851243, 0.6774697, 0.3823546 | 1
-156.2725, 99.19218, 143.8637, -162.2774, -41.43319, 172.3525, 45 | 0.01845515, 0.6791966, 0.382609 | 1
-156.3441, 98.88068, 143.9648, -162.2017, -41.14727, 172.7663, 45 | 0.0184125, 0.6811215, 0.3828417 | 1
-156.4987, 98.46376, 144.2067, -162.0497, -40.62659, 172.9918, 45 | 0.01860756, 0.6826249, 0.3833958 | 1
-156.7161, 98.04172, 144.3699, -161.9664, -40.23721, 173.4107, 45 | 0.01904199, 0.6842699, 0.3839884 | 1
-156.8176, 97.65317, 144.5453, -161.8198, -39.81186, 173.7233, 45 | 0.01925766, 0.6861321, 0.3844627 | 1
-156.7138, 97.64695, 144.5714, -161.7535, -39.78754, 173.663, 45 | 0.01898921, 0.6864492, 0.3844157 | 1
-156.6578, 97.51167, 144.6079, -161.682, -39.73112, 173.8557, 45 | 0.01879087, 0.6876321, 0.3844819 | 1
-156.6801, 97.11399, 144.7189, -161.5329, -39.49799, 174.403, 45 | 0.01888072, 0.690501, 0.384773 | 1
-156.7756, 96.93331, 144.7935, -161.4903, -39.3747, 174.5902, 45 | 0.01913354, 0.6912851, 0.3850117 | 1
-156.7154, 96.86185, 144.8919, -161.3936, -39.26883, 174.5184, 45 | 0.01888821, 0.6917238, 0.385053 | 1
